26.000, 0.8610, -0.5610 ,-0.2610
27.000, 0.1210, -0.9610 ,-0.4310
28.000, 0.6110, -0.7210 ,-0.6110
29.000, 0.7910, -0.6110 ,-0.3510
30.000, 0.9510, -0.8410 ,-0.7110
31.000, 0.6110, -0.0410 ,-0.1710
32.000, 0.7510, -0.4910 ,-0.0810
33.000, 0.4010, -0.9010 ,-0.2910
34.000, 0.1210, -0.9410 ,-0.2510
35.000, 0.9010, -0.6910 ,-0.6810
36.000, 0.1710, -0.0610 ,-0.8010
37.000, 0.2210, -0.0910 ,-0.4310
38.000, 0.3310, -0.6110 ,-0.2410
39.000, 0.3610, -0.6910 ,-0.6010
40.000, 0.1810, -0.0810 ,-0.4510
41.000, 0.4310, -0.0810 ,-0.5110
42.000, 0.8810, -0.6610 ,-0.2310
