39327.590, 0.1701, 0.1830 ,0.1701
39327.615, 0.1701, 0.1830 ,0.1701
39327.709, 0.1701, 0.1830 ,0.1701
39327.836, 0.1701, 0.1830 ,0.1701
39327.960, 0.1701, 0.1830 ,0.1701
39328.088, 0.1761, 0.1852 ,0.1761
39328.211, 0.1761, 0.1852 ,0.1761
39328.337, 0.1761, 0.1852 ,0.1761
39328.461, 0.1761, 0.1852 ,0.1761
39328.593, 0.1687, 0.1783 ,0.1687
39328.711, 0.1687, 0.1783 ,0.1687
39328.837, 0.1687, 0.1783 ,0.1687
39328.962, 0.1687, 0.1783 ,0.1687
39329.090, 0.1570, 0.1668 ,0.1570
39329.591, 0.1455, 0.1552 ,0.1455
39329.712, 0.1455, 0.1552 ,0.1455
